,WL,Imag,Real
217,2470,0.0013265600780715551,1.4
218,2480,0.0014354400783876343,1.4
219,2490,0.0014860000787037136,1.4
220,2500,0.0015399200790197928,1.4
221,2510,0.0015775200793358719,1.4
222,2520,0.0016075200796519514,1.4
223,2530,0.0016318400799680303,1.4
224,2540,0.0016701600802841094,1.4
225,2550,0.0017305600806001885,1.4
226,2560,0.0018225600809162678,1.4
227,2570,0.001865680081232347,1.4
228,2580,0.0019249600815484259,1.4
229,2590,0.0019872000818645054,1.4
230,2600,0.0020509600821805845,1.4
231,2610,0.0022687200824966637,1.4
232,2620,0.002724960082812743,1.4
233,2630,0.0034633600831288224,1.4
234,2640,0.0037049600834449014,1.4
235,2650,0.00429440008376098,1.4
236,2660,0.005576800084077059,1.4
237,2670,0.007284640084393139,1.4
238,2680,0.010160000084709218,1.4
239,2690,0.011231200085025298,1.4
240,2700,0.013438400085341378,1.4
241,2710,0.016002400085657457,1.4
242,2720,0.025264000085973532,1.4
243,2730,0.03391440008628962,1.4
244,2740,0.0399720000866057,1.4
245,2750,0.05301920008692178,1.4
246,2760,0.06462320008723786,1.4
247,2770,0.07113760008755395,1.4
248,2780,0.08033600008787001,1.4
249,2790,0.09208000008818608,1.4
250,2800,0.10032800008850216,1.4
251,2810,0.10912800008881825,1.4
252,2820,0.12328000008913433,1.4
253,2830,0.1399680000894504,1.4
254,2840,0.14999200008976646,1.4
255,2850,0.16024000009008257,1.4
256,2860,0.17605600009039862,1.4
257,2870,0.18596800009071474,1.4
258,2880,0.19230400009103082,1.4
259,2890,0.20433600009134686,1.4
260,2900,0.21229600009166297,1.4
261,2910,0.21637600009197905,1.4
262,2920,0.22126400009229513,1.4
263,2930,0.22426400009261122,1.4
264,2940,0.2251520000929273,1.4
265,2950,0.22591200009324336,1.4
266,2960,0.22280000009355946,1.4
267,2970,0.22176000009387553,1.4
268,2980,0.2176800000941916,1.4
269,2990,0.21722400009450768,1.4
270,3000,0.21741600009482379,1.4
271,3010,0.21444800009513987,1.4
272,3020,0.20903200009545594,1.4
273,3030,0.20200800009577202,1.4
274,3040,0.19420800009608807,1.4
275,3050,0.18640800009640415,1.4
276,3060,0.17878400009672024,1.4
277,3070,0.1711520000970363,1.4
278,3080,0.16333600009735239,1.4
279,3090,0.15514400009766846,1.4
280,3100,0.14642400009798454,1.4
281,3110,0.13732000009830062,1.4
282,3120,0.1280960000986167,1.4
283,3130,0.11900800009893278,1.4
284,3140,0.11032800009924887,1.4
285,3150,0.10229600009956495,1.4
286,3160,0.09494400009988102,1.4
287,3170,0.0882000001001971,1.4
288,3180,0.08196800010051318,1.4
289,3190,0.07616320010082926,1.4
290,3200,0.07070800010114534,1.4
291,3210,0.06554400010146141,1.4
292,3220,0.0606368001017775,1.4
293,3230,0.05595440010209358,1.4
294,3240,0.05146400010240965,1.4
295,3250,0.04713360010272573,1.4
296,3260,0.04297120010304181,1.4
297,3270,0.039036800103357895,1.4
298,3280,0.035394400103673965,1.4
299,3290,0.032106400103990046,1.4
300,3300,0.02923760010430613,1.4
301,3310,0.026819200104622208,1.4
302,3320,0.024788800104938283,1.4
303,3330,0.023067200105254364,1.4
304,3340,0.021573600105570443,1.4
305,3350,0.020231200105886523,1.4
306,3360,0.018989600106202605,1.4
307,3370,0.01783200010651868,1.4
308,3380,0.016739200106834762,1.4
309,3390,0.01569440010715084,1.4
310,3400,0.014683200107466918,1.4
311,3410,0.013705600107783,1.4
312,3420,0.012768800108099077,1.4
313,3430,0.011878400108415156,1.4
314,3440,0.011041600108731234,1.4
315,3450,0.010264800109047316,1.4
316,3460,0.009548800109363395,1.4
317,3470,0.008889600109679473,1.4
318,3480,0.008283200109995552,1.4
319,3490,0.007725120110311632,1.4
320,3500,0.0072108801106277095,1.4
321,3510,0.006737040110943789,1.4
322,3520,0.006301440111259868,1.4
323,3530,0.005901520111575948,1.4
324,3540,0.005535040111892027,1.4
325,3550,0.005199600112208106,1.4
326,3560,0.004894480112524184,1.4
327,3570,0.004619440112840264,1.4
328,3580,0.004374480113156343,1.4
329,3590,0.004159440113472422,1.4
330,3600,0.003973760113788501,1.4
331,3610,0.00381312011410458,1.4
332,3620,0.00367176011442066,1.4
333,3630,0.0035436801147367388,1.4
334,3640,0.0034228801150528176,1.4
335,3650,0.003304160115368897,1.4
336,3660,0.0031880801156849766,1.4
337,3670,0.003078880116001056,1.4
338,3680,0.002980800116317135,1.4
339,3690,0.002898000116633214,1.4
340,3700,0.002834320116949293,1.4
341,3710,0.0027889601172653724,1.4
342,3720,0.002758160117581452,1.4
343,3730,0.002738480117897531,1.4
344,3740,0.00272616011821361,1.4
345,3750,0.002717680118529689,1.4
346,3760,0.0027116001188457685,1.4
347,3770,0.002708560119161848,1.4
348,3780,0.0027094401194779267,1.4
349,3790,0.0027147201197940058,1.4
350,3800,0.0027253601201100847,1.4
351,3810,0.002741680120426164,1.4
352,3820,0.0027632001207422434,1.4
353,3830,0.0027896801210583223,1.4
354,3840,0.0028206401213744015,1.4
355,3850,0.0028557601216904808,1.4
356,3860,0.00289424012200656,1.4
357,3870,0.002935360122322639,1.4
358,3880,0.002978320122638718,1.4
359,3890,0.0030223201229547976,1.4
360,3900,0.003066640123270877,1.4
361,3910,0.003111920123586956,1.4
362,3920,0.0031596001239030352,1.4
363,3930,0.0032112001242191146,1.4
364,3940,0.0032682401245351937,1.4
365,3950,0.0033324001248512727,1.4
366,3960,0.003404160125167351,1.4
367,3970,0.0034820001254834304,1.4
368,3980,0.00356360012579951,1.4
369,3990,0.0036468001261155893,1.4
370,4000,0.003729440126431668,1.4
371,4010,0.0038107201267477474,1.4
372,4020,0.0038905601270638264,1.4
373,4030,0.003968960127379906,1.4
374,4040,0.004046000127695985,1.4
375,4050,0.004121760128012064,1.4
376,4060,0.004197360128328143,1.4
377,4070,0.004274000128644222,1.4
378,4080,0.004353120128960302,1.4
379,4090,0.004435920129276381,1.4
380,4100,0.004523760129592461,1.4
381,4110,0.004617200129908539,1.4
382,4120,0.0047153601302246185,1.4
383,4130,0.004817520130540698,1.4
384,4140,0.004922560130856777,1.4
385,4150,0.005029840131172856,1.4
386,4160,0.005138640131488935,1.4
387,4170,0.0052488001318050145,1.4
388,4180,0.005360160132121094,1.4
389,4190,0.005472560132437173,1.4
390,4200,0.005585760132753252,1.4
391,4210,0.005700560133069331,1.4
392,4220,0.005818240133385411,1.4
393,4230,0.00594000013370149,1.4
394,4240,0.006066960134017568,1.4
395,4250,0.006200080134333648,1.4
396,4260,0.006337920134649727,1.4
397,4270,0.0064784001349658055,1.4
398,4280,0.006619520135281885,1.4
399,4290,0.006759200135597964,1.4
400,4300,0.006896000135914042,1.4
401,4310,0.007031120136230124,1.4
402,4320,0.007166480136546202,1.4
403,4330,0.007304000136862281,1.4
404,4340,0.00744560013717836,1.4
405,4350,0.00759280013749444,1.4
406,4360,0.007745920137810519,1.4
407,4370,0.007904880138126598,1.4
408,4380,0.008069600138442679,1.4
409,4390,0.008240000138758757,1.4
410,4400,0.008415200139074836,1.4
411,4410,0.008592800139390915,1.4
412,4420,0.008769600139706993,1.4
413,4430,0.008940800140023073,1.4
414,4440,0.009104000140339151,1.4
415,4450,0.009256800140655231,1.4
416,4460,0.00940320014097131,1.4
417,4470,0.00954720014128739,1.4
418,4480,0.00969600014160347,1.4
419,4490,0.009853600141919548,1.4
420,4500,0.010026400142235627,1.4
421,4510,0.010212800142551708,1.4
422,4520,0.010406400142867787,1.4
423,4530,0.010601600143183865,1.4
424,4540,0.010794400143499944,1.4
425,4550,0.010978400143816024,1.4
426,4560,0.011152800144132103,1.4
427,4570,0.011320800144448182,1.4
428,4580,0.01148400014476426,1.4
429,4590,0.01164560014508034,1.4
430,4600,0.01180880014539642,1.4
431,4610,0.011972800145712498,1.4
432,4620,0.012129600146028577,1.4
433,4630,0.012270400146344656,1.4
434,4640,0.012384000146660737,1.4
435,4650,0.012464800146976814,1.4
436,4660,0.012516800147292895,1.4
437,4670,0.012546400147608971,1.4
438,4680,0.012558400147925053,1.4
439,4690,0.012560800148241132,1.4
440,4700,0.01255840014855721,1.4
441,4710,0.01255200014887329,1.4
442,4720,0.012537600149189369,1.4
443,4730,0.012510400149505448,1.4
444,4740,0.012466400149821527,1.4
445,4750,0.012400800150137605,1.4
446,4760,0.012314400150453687,1.4
447,4770,0.012214400150769765,1.4
448,4780,0.012110400151085844,1.4
449,4790,0.012010400151401923,1.4
450,4800,0.011923200151718003,1.4
451,4810,0.011847200152034082,1.4
452,4820,0.01177360015235016,1.4
453,4830,0.01169680015266624,1.4
454,4840,0.011609600152982319,1.4
455,4850,0.0115056001532984,1.4
456,4860,0.011381600153614477,1.4
457,4870,0.011248000153930557,1.4
458,4880,0.011115200154246635,1.4
459,4890,0.010992800154562716,1.4
460,4900,0.010891200154878794,1.4
461,4910,0.010808000155194872,1.4
462,4920,0.010735200155510952,1.4
463,4930,0.010664800155827034,1.4
464,4940,0.01058800015614311,1.4
465,4950,0.01049600015645919,1.4
466,4960,0.010384000156775269,1.4
467,4970,0.010257600157091347,1.4
468,4980,0.010124000157407428,1.4
469,4990,0.009991200157723507,1.4
